id,StateCounty,HEAT_RISK,INLAND_RISK,FIRE_RISK,DROUGHT_RISK,COASTAL_RISK,WIND_RISK,MEAN_RISK,OVERALL_RISK_PCT,HEAT_RAJ,INLAND_RAJ,FIRE_RAJ,DROUGHT_RAJ,COASTAL_RAJ,WIND_RAJ,MEAN_RAJ,OVERALL_RAJ_PCT,finworry,innerpeace,charity,goodpromo,relationships,depression,volunteer,happiness,resilience,jobsat,purpose,altruism,migmood,vitality,optimism,loneliness,relcomfort,suffering,forgive,hope,corruption,belonging,energy,empathy,govapprove,fearfuture,anxiety,pain,polvoice,lifesat,balance,trusted,discrim,smokehealth,afterlife,delaygrat,gratitude,ptsd,mastery,spiritpun,relcrit,selfesteem,posfunct,drinkhealth,lovedgod,trust,healthlim,believegod,ntweets,rural,population,fin_sec,future_sec,clim_risk,charac_virt,relig,inst_trust,meaning,social,subj_welb,psy_dstrs,physc_cond,econ_stab
2161,40057,40,16.526946,59.652695,88.431138,0,0,33.888622754,70.505389222,30,13.808383,50,55.778443,0,0,24.753293413,47.437724551,0.3,-0.0458079783637593,0.0833333333333333,0.650059710404538,-0.0680882903105125,0.191489361702128,1,0.111111111111111,0.17910447761194,0.739130434782609,0.5,0.9,0,0.21840354767184,-0.0715109573241061,0,0.888888888888889,0.542168674698795,0,0.272131147540984,0,0.384615384615385,0.395833333333333,0.160714285714286,-0.75,0.5,0.285714285714286,0.577702702702703,0.282051282051282,-0.0231148162182645,0.571428571428571,-0.282051282051282,0.8,1,1,0.142272727272727,0.6,1,0.75,1,-0.333333333333333,0.112007168458781,0.173446327683616,0.5,0.605545617173524,0.167763157894737,0.333333333333333,0.616666666666667,40,9,2488,-0.3,-0.5,-0.289153352621965,1.50088104261277,2.32578158342522,-0.355925031025391,12.2691393755316,1.47806062973509,-1.45515021056685,1.7677807568844,11.2735364171297,2.43529591345155
2162,40059,30,29.670757,58.284945,52.032326,0,0,28.280754265,57.10775217,21.442682,20.056869,47.797067,37.533673,0,0,21.140077821,36.586650703,0.184210526315789,0.0714285714285714,0.25,0.724909963985594,-0.029940119760479,0.159687721788502,,0.0856494611457743,0.153374233128834,0.497490347490348,0.422619047619048,0.761140819964349,-0.5,0.0553737043098745,-0.1,0.103706972639011,0.5,0.511111111111111,0.5,0.31002331002331,0,0.473684210526316,0.3875,0.0952380952380952,0,0.608695652173913,0.441860465116279,0.56491646778043,0.6,-0.0254150702426565,0.0447191557947876,0.0909090909090909,0.666666666666667,0.25,1,0.438848920863309,0.460843373493976,0.926470588235294,0.75,-0.4,-0.7125,0.0893098782138024,0.254545454545455,0.210526315789474,0.5,0.148148148148148,0.407894736842105,0.478260869565217,120,9,3272,-0.184210526315789,-0.608695652173913,,,,,,,,,,
2163,40061,40,70.366032,49.99512,40,0,10,35.030746706,52.829184968,30,34.968277,37.896535,20.546608,0,10,22.161054173,31.409468033,0.0747581354441513,0.00541516245487365,0.177429876060013,0.666666666666667,-0.107594936708861,0.193181818181818,1,0.0665950590762621,0.25,0.472527472527473,0.295454545454545,0.752142983386356,0.5,0,0,0.275510204081633,0.535703321667588,0.548387096774194,1,0.294823705926482,0.000356796982516948,0.184322033898305,0.263157894736842,0.155815395517761,-0.592105263157895,0.507760532150776,0.24040404040404,0.504166666666667,0.501683501683502,-0.0969465648854962,0.0431034482758621,-0.0487804878048781,0.637731481481482,0.318181818181818,0.9,0.333333333333333,0.414634146341463,0.909090909090909,0.504280821917808,0.25,-0.481481481481482,0.109717868338558,0.166666666666667,0.444444444444444,0.505747126436782,0.103125,0.418604651162791,0.5,1137,8,11561,-0.0747581354441513,-0.507760532150776,0.960647216181401,-2.81413799953321,1.46390271577165,0.471039452765911,-39.8348656529169,-5.53471124967436,-3.28275861439563,3.05041659454778,-37.7255163909177,-5.93306581832508
2164,40063,40,51.499626,50,40,0,9.371728,31.887434555,47.820493642,30,27.539267,40,25.882573,0,9.371728,22.105459985,30.777112939,0.0835875533862111,0.0160201036594943,0.218390804597701,0.650326797385621,-0.0881757733448974,0.164043449346043,1,0.134615384615385,0.251228501228501,0.5,0.261992619926199,0.746575342465753,-0.5,0.0805687203791469,0.0192307692307692,0.202247191011236,0.376593137254902,0.513513513513514,0.727272727272727,0.31796875,0.00137614678899083,0.0981308411214953,0.273069679849341,0.142418131182176,-0.5,0.542176230793352,0.173076923076923,0.485232067510549,0.609467455621302,-0.0647431386347643,0.0990990990990991,-0.0388945752302968,0.698019801980198,0.40952380952381,0.942857142857143,0.391304347826087,0.41358024691358,0.824925816023739,0.52572347266881,0.5,-0.376246719160105,0.125,0.251798561151079,0.330357142857143,0.333203463203463,0.149276700523238,0.366336633663366,0.303444929645803,1313,9,13367,-0.0835875533862111,-0.542176230793352,0.637762837014476,-2.14164224399653,0.0211241196633465,-0.416733998330691,-26.4335432715463,-4.05534186763496,-1.96070439488746,1.85791871089331,-24.9624755978567,-4.09549739684757
2165,40065,40.988142,33.814229,58.43083,87.351779,0,0.324111,36.646640316,75.570750988,30.905138,22.478261,46.454545,51.628458,0,0.324111,25.231620553,45.975889328,0.124306326304107,-0.0149597238204833,0.325,0.594247560349255,-0.146941489361702,0.196551510264839,0.944444444444444,0.101584342963653,0.316628701594533,0.255707762557078,0.187335092348285,0.749097472924188,-0.666666666666667,-0.0483870967741936,-0.039183131329902,0.233333333333333,0.417021276595745,0.502777777777778,0.5,0.264605300655457,0.00271107668474051,0.125081433224756,0.250869061413673,0.115220708160152,-0.579046563192905,0.501601830663616,0.21027769825365,0.528473804100228,0.654320987654321,-0.102826217678894,0.0564159292035398,-0.0990220048899755,0.721649484536083,0.306818181818182,0.827586206896552,0.370967741935484,0.372916666666667,0.866230098967298,0.513832763444203,0.41358024691358,-0.346153846153846,0.0640063216120111,0.132943143812709,0.257142857142857,0.440229885057471,0.154492753623188,0.376205787781351,0.358778625954198,8751,7,24785,-0.124306326304107,-0.501601830663616,1.35737502827461,-5.10333702701372,0.618369744481129,-0.947708587900493,-56.2996999243764,-7.79382713241513,-4.07326452633556,3.3916331248612,-53.271257252896,-8.34836961983164
2166,40067,48.760196,38.686786,50.88907,40,0,10,31.422512235,46.536704731,38.132137,20.897227,42.300163,29.25367,0,10,23.526508972,30.848694943,0.0802069857697283,0.0428571428571429,0.5,0.862068965517241,0.176470588235294,0.106870229007634,1,0.252631578947368,0.270980246608108,0.867521367521368,0.688095238095238,0.836410256410257,-0.333333333333333,0.125727213962508,0.145569620253165,-0.166666666666667,0.15625,0.4375,0,0.384615384615385,0,0.37037037037037,0.34593837535014,0.227941176470588,-0.65,0.441087613293051,0.165368271954674,0.578947368421053,0.5,0.0153846153846154,0.125,0.015625,0.667341430499325,0.0454545454545455,1,0.345230893325267,0.604166666666667,1,0.676470588235294,0.6,-0.5,0.51027027027027,0.448275862068966,0.130952380952381,0.366666666666667,0.173913043478261,0.341040462427746,0.154761904761905,120,8,5337,-0.0802069857697283,-0.441087613293051,-1.32174014441829,6.60975961824987,-0.341609840912009,0.634518588743361,54.8550308384956,8.21810393652525,3.26247191277291,-2.38438554487357,51.7290857884054,8.10874044632692
2167,40069,40,42.932829,48.429518,39.493851,0,10,29.895931883,42.997634816,30.316935,19.030274,38.689688,26.140019,0,10,20.634342479,28.953642384,-0.00495049504950495,0.0467980295566503,0.3125,0.667539267015707,-0.0986842105263158,0.121666666666667,1,0.168308702791461,0.27683615819209,0.488095238095238,0.285714285714286,0.792626728110599,-0.75,0.0904347826086957,0.0416666666666667,0.146198830409357,0.416666666666667,0.473684210526316,0.625,0.309815950920245,0.000389787565776652,0.2125,0.298192771084337,0.150082068116537,-0.595238095238095,0.438405797101449,0.1664880314398,0.513986013986014,0.6,-0.0731707317073171,0.0858585858585859,0.0161290322580645,0.621052631578947,0.226315789473684,1,0.375,0.439024390243902,0.785714285714286,0.54251012145749,0.333333333333333,-0.333333333333333,0.189003436426117,0.170783345095272,0.362068965517241,0.3,0.170103092783505,0.385542168674699,0.233333333333333,863,9,10272,0.00495049504950495,-0.438405797101449,0.406854353929241,-1.17556129669785,-0.267055406181171,0.477156128588731,-16.8902186077771,-2.29827586583769,-1.09172157325051,0.750423017577458,-16.0299730554471,-2.43591190671593
2168,40071,36.850318,55.248408,52.656051,55.808917,0,0,33.470382166,64.95477707,29.726115,30.751592,43.009554,36.251592,0,0,23.335987261,38.593630573,0.0215633423180593,0.101372501805923,0.375,0.685621445978879,-0.0865168539325843,0.11,0.96875,0.203140757815877,0.337254901960784,0.438155136268344,0.347087378640777,0.813925570228091,-0.428571428571429,0.0785645004849661,0.047085201793722,0.161671924290221,0.343558282208589,0.475862068965517,0.5,0.30920060331825,0.00130293159609121,0.272428524482419,0.336914353924202,0.159681475272422,-0.433333333333333,0.455431754874652,0.165468960081599,0.486486486486487,0.605042016806723,0.00848782666964485,0.0997093023255814,0.00753295668549906,0.681459566074951,0.441052631578947,0.840659340659341,0.45578231292517,0.398418190805734,0.835390946502058,0.591397849462366,0.238095238095238,-0.338823529411765,0.109179134654266,0.230692076228686,0.181818181818182,0.332116788321168,0.192619559821281,0.352660841938046,0.319587628865979,12237,4,43700,-0.0215633423180593,-0.455431754874652,0.0756783379905148,-0.164895021134499,0.0651833353756159,-0.111234665867184,-3.156604292357,-0.411444253748601,0.496650143134559,0.432125927145555,-2.99548693826149,-0.467854979453821
2169,40073,40,36.030429,57.776625,51.116874,0,0,30.880705394,61.018326418,30,22.344398,48.565007,31.625173,0,0,22.150760719,38.824343015,0.0607287449392713,0.0572435050638485,0.284648187633262,0.736842105263158,-0.0226757369614512,0.181818181818182,1,0.147577092511013,0.318385650224215,0.706766917293233,0.443181818181818,0.807692307692308,-0.75,0.0851528384279476,-0.0274043433298862,0.0967741935483871,0.442622950819672,0.505543237250554,0.923076923076923,0.316326530612245,0.000495908752789487,0.264401772525849,0.301164725457571,0.202192164179105,-0.454545454545455,0.484234234234234,0.194001518602885,0.495390781563126,0.57311320754717,-0.0189075630252101,0.130990415335463,0.0977443609022556,0.647887323943662,0,0.904761904761905,0.420289855072464,0.505415162454874,0.811320754716981,0.595791805094131,0.441860465116279,-0.403508771929825,0.161172161172161,0.212121212121212,0.354166666666667,0.441176470588235,0.168101834518907,0.365758754863813,0.391304347826087,1732,8,15184,-0.0607287449392713,-0.484234234234234,-0.0133440691183569,1.23621437316527,0.790601791304424,0.35712427202,0.590100666473214,0.471802612411597,-0.663711282778943,1.3018865551814,0.417710134813919,0.27775313543775
2170,40075,40,27.980143,52.783121,66.34502,0,0.85014,31.369221222,61.227117592,30,18.693764,47.108284,41.520323,0,0.85014,22.941669252,39.161960906,0.083969465648855,0.0124707716289945,0.4,0.618705035971223,-0.0595419847328244,0.122324159021407,1,0.102608695652174,0.269230769230769,0.276595744680851,0.246753246753247,0.75,-0.5,0.0408560311284047,-0.00497017892644135,0.15,0.333333333333333,0.536170212765958,0.625,0.297055057618438,0.00245298446443173,0.143388210302708,0.297752808988764,0.144638403990025,-0.591666666666667,0.482352941176471,0.165467625899281,0.469924812030075,0.64963503649635,-0.0521885521885522,0.0759345794392523,-0.0641330166270784,0.7,0.428571428571429,1,0.265822784810127,0.411320754716981,0.896551724137931,0.455078125,0.393181818181818,-0.489130434782609,0.0816864295125165,0.158469945355191,0.384615384615385,0.46875,0.0303030303030303,0.346153846153846,0.333333333333333,221,8,8509,-0.083969465648855,-0.482352941176471,0.880129335013158,-3.08051809696907,0.70713852463557,-0.60488281208094,-36.4978923271575,-5.10500106536223,-2.65052563195978,1.77043764366402,-34.4963454163646,-6.04364487069398
2171,40077,39.995812,54.028476,49.526801,38.567839,0,10,31.866834171,44.389865997,30,26.561977,38.400335,20.188442,0,10,20.780988275,27.786850921,0.0593220338983051,0.0377142857142857,0.189873417721519,0.629242819843342,-0.0374115267947422,0.129202106115836,1,0.178571428571429,0.370689655172414,0.54945054945055,0.27027027027027,0.790697674418605,-0.6,0.0440340909090909,0.10126582278481,0.0923076923076923,0.45136186770428,0.487704918032787,0.454545454545455,0.3,0.000114771031791576,0.214765100671141,0.340909090909091,0.191353887399464,-0.18859649122807,0.482869379014989,0.1344,0.48421052631579,0.555555555555556,-0.0169082125603865,0.17037037037037,0.0540540540540541,0.663907284768212,0.477477477477478,0.791263873970641,0.365591397849462,0.446808510638298,0.855519480519481,0.595238095238095,0.333333333333333,-0.272727272727273,0.174863387978142,0.241379310344828,0.307692307692308,0.472222222222222,0.143884892086331,0.321428571428571,0.448577680525164,921,9,9444,-0.0593220338983051,-0.482869379014989,0.0474908480419804,-0.0828681950242443,1.05712695713791,0.225087688448794,-1.97886181980408,-0.208433075644468,0.179738126963034,0.35653249150588,-1.88903337152976,-0.252816346102921
2172,40079,34.900345,45.114987,48.930625,35.605596,0,10,29.006707551,40.185128402,28.250287,20.900728,36.521656,21.149866,0,10,19.450364124,24.818321196,0.0526976160602259,-0.0117924528301887,0.30952380952381,0.569737954353339,-0.124839124839125,0.178247734138973,0.86969696969697,0.121770551038844,0.288240495137047,0.353421859039837,0.266536964980545,0.776255707762557,-0.452380952380952,-0.0380171449869549,-0.00283724529275213,0.221875,0.367088607594937,0.53037037037037,0.243243243243243,0.26219512195122,0.00284005979073244,0.165540540540541,0.276039234002802,0.140859658208182,-0.4858934169279,0.492401215805471,0.20770202020202,0.527310658743204,0.554852320675106,-0.0784380305602716,0.0828173374613003,-0.0390804597701149,0.701492537313433,0.33879781420765,0.846153846153846,0.419407894736842,0.395299145299145,0.835666912306559,0.525004296270837,0.454545454545455,-0.379943502824859,0.112431444241316,0.156968876860622,0.242857142857143,0.361111111111111,0.134566326530612,0.369829683698297,0.368533333333333,5723,6,48129,-0.0526976160602259,-0.492401215805471,1.05546350784513,-4.19405175144207,0.300569513992548,-0.381377994687562,-43.7691797828767,-5.98860769746274,-3.08135963190993,2.76213245472029,-41.4375435205322,-6.40096285085068
2173,40081,40,29.832204,50.280736,40,0,0,26.715714747,48.189415941,30.054856,15.614714,40.200065,28.299451,0,0,18.85898677,31.52726686,0.0393510528132551,0.0274133871510259,0.378151260504202,0.683442951100944,-0.0481927710843374,0.182552504038772,1,0.117782966695342,0.311827956989247,0.5,0.355263157894737,0.789823008849558,-0.777777777777778,0.0480769230769231,-0.00516795865633075,-0.0384615384615385,0.503334767641997,0.522342064714946,1,0.267472985030237,0.00457456541628545,0.269911504424779,0.300134048257373,0.153949129852744,-0.457142857142857,0.539089424995465,0.193928070994862,0.486586493987049,0.621621621621622,-0.0118764845605701,0.15625,0.0998217468805704,0.679245283018868,0.818181818181818,1,0.379310344827586,0.504353650368386,0.860655737704918,0.591240875912409,0.252747252747253,-0.4,0.115015974440895,0.231155778894472,0.330601092896175,0.5,0.194274396831113,0.300578034682081,0.449957947855341,1512,1,33458,-0.0393510528132551,-0.539089424995465,0.187546398314145,-0.137631825752214,1.30129091986276,-0.159122322437568,-7.78366353715759,-0.337811434843092,-1.17065729008931,1.71421422865811,-7.39418635712729,-1.17146810223958
